#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.04,94.09191,100000.00000
0.250,0.03273676,0.11,102.29555,100000.00000
0.250,0.03273676,0.21,111.27925,100000.00000
0.250,0.03273676,0.53,69.17880,100000.00000
0.250,0.03273676,0.24,49.92861,100000.00000
0.250,0.03273676,0.51,61.17749,100000.00000
0.250,0.03273676,0.27,153.39267,100000.00000
0.250,0.03273676,0.13,156.07302,100000.00000
0.250,0.03273676,0.37,163.16498,100000.00000
0.250,0.03273676,0.26,152.93653,100000.00000
0.250,0.03273676,0.03,64.52383,100000.00000
0.250,0.03273676,0.21,63.16470,100000.00000
0.250,0.03273676,0.28,162.74857,100000.00000
0.250,0.03273676,0.18,12.48503,100000.00000
0.250,0.03273676,0.59,12.21067,27683.98652
0.250,0.03273676,0.31,48.46378,100000.00000
0.250,0.03273676,0.27,5.18088,100000.00000
0.250,0.03273676,0.38,19.91371,100000.00000
0.250,0.03273676,0.20,171.10929,100000.00000
0.250,0.03273676,0.06,58.17653,100000.00000
0.250,0.03273676,0.41,60.02985,100000.00000
0.250,0.03273676,0.01,106.63462,100000.00000
0.250,0.03273676,0.01,30.69434,100000.00000
0.250,0.03273676,0.09,140.37760,100000.00000
0.250,0.03273676,0.58,60.32139,3718.65415
0.250,0.03273676,0.03,20.85643,100000.00000
0.250,0.03273676,0.19,178.29093,100000.00000
0.250,0.03273676,0.12,100.22423,100000.00000
0.250,0.03273676,0.13,145.68501,100000.00000
0.250,0.03273676,0.28,24.54687,100000.00000
0.250,0.03273676,0.13,133.33835,100000.00000
0.250,0.03273676,0.42,107.16930,100000.00000
0.250,0.03273676,0.43,4.87728,100000.00000
0.250,0.03273676,0.27,111.65572,100000.00000
0.250,0.03273676,0.12,30.50869,100000.00000
0.250,0.03273676,0.23,160.40576,100000.00000
0.250,0.03273676,0.32,51.07966,100000.00000
0.250,0.03273676,0.21,25.73850,100000.00000
0.250,0.03273676,0.33,20.16700,100000.00000
0.250,0.03273676,0.28,111.97561,100000.00000
0.250,0.03273676,0.59,8.23357,100000.00000
0.250,0.03273676,0.08,24.75377,100000.00000
0.250,0.03273676,0.02,93.61224,100000.00000
0.250,0.03273676,0.55,166.99541,100000.00000
0.250,0.03273676,0.22,67.36874,100000.00000
0.250,0.03273676,0.35,122.67049,100000.00000
0.250,0.03273676,0.10,98.77208,100000.00000
0.250,0.03273676,0.53,7.57677,100000.00000
0.250,0.03273676,0.42,32.04647,100000.00000
0.250,0.03273676,0.07,177.41708,100000.00000
0.250,0.03273676,0.48,5.61296,100000.00000
0.250,0.03273676,0.19,74.27118,100000.00000
0.250,0.03273676,0.02,89.13184,100000.00000
0.250,0.03273676,0.11,66.18885,100000.00000
