#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.274,0.00225,0.27401,0.00010,0.32529,4.12400e+09
0.277,0.00225,0.27700,0.00010,0.31790,4.42600e+09
0.280,0.00225,0.28000,0.00010,0.31051,4.74700e+09
0.283,0.00225,0.28301,0.00010,0.30313,5.08800e+09
0.286,0.00225,0.28601,0.00010,0.29574,5.44900e+09
0.289,0.00225,0.28900,0.00010,0.28835,5.83100e+09
0.292,0.00225,0.29200,0.00010,0.28097,6.23600e+09
0.295,0.00225,0.29501,0.00010,0.27358,6.66500e+09
0.301,0.00225,0.30101,0.00010,0.25880,7.59700e+09
0.304,0.00225,0.30400,0.00010,0.25142,8.10200e+09
0.298,0.00225,0.29801,0.00010,0.26619,7.11800e+09
0.160,0.00250,0.16012,0.00010,0.60601,1.12000e+08
0.307,0.00225,0.30701,0.00010,0.24403,8.63700e+09
0.163,0.00250,0.16302,0.00010,0.59862,1.26000e+08
0.166,0.00250,0.16603,0.00010,0.59123,1.42000e+08
0.310,0.00225,0.31000,0.00010,0.23664,9.20000e+09
