#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.238,0.00225,0.18998,0.01221,0.41394,1.00000e+10
0.241,0.00225,0.19002,0.01221,0.40655,1.00000e+10
0.247,0.00225,0.19008,0.01223,0.39178,1.00000e+10
0.244,0.00225,0.19005,0.01222,0.39916,1.00000e+10
0.250,0.00225,0.19011,0.01223,0.38439,1.00000e+10
0.253,0.00225,0.19014,0.01224,0.37700,1.00000e+10
0.256,0.00225,0.19017,0.01224,0.36961,1.00000e+10
0.259,0.00225,0.19019,0.01225,0.36223,1.00000e+10
0.262,0.00225,0.19022,0.01225,0.35484,1.00000e+10
0.265,0.00225,0.19024,0.01225,0.34745,1.00000e+10
0.268,0.00225,0.19026,0.01226,0.34006,1.00000e+10
0.271,0.00225,0.19028,0.01226,0.33268,1.00000e+10
0.274,0.00225,0.19030,0.01226,0.32529,1.00000e+10
0.277,0.00225,0.19032,0.01227,0.31790,1.00000e+10
0.283,0.00225,0.19035,0.01227,0.30313,1.00000e+10
0.280,0.00225,0.19034,0.01227,0.31051,1.00000e+10
0.286,0.00225,0.19037,0.01228,0.29574,1.00000e+10
0.289,0.00225,0.19038,0.01228,0.28835,1.00000e+10
0.292,0.00225,0.19039,0.01228,0.28097,1.00000e+10
0.295,0.00225,0.19041,0.01228,0.27358,1.00000e+10
0.298,0.00225,0.19042,0.01229,0.26619,1.00000e+10
0.301,0.00225,0.19043,0.01229,0.25880,1.00000e+10
0.307,0.00225,0.19045,0.01229,0.24403,1.00000e+10
0.304,0.00225,0.19044,0.01229,0.25142,1.00000e+10
0.313,0.00225,0.19047,0.01229,0.22925,1.00000e+10
0.316,0.00225,0.19048,0.01230,0.22187,1.00000e+10
0.310,0.00225,0.19046,0.01229,0.23664,1.00000e+10
0.319,0.00225,0.19048,0.01230,0.21448,1.00000e+10
